Package                   Version
------------------------- ------------
aiohappyeyeballs          2.6.1
aiohttp                   3.13.3
aiosignal                 1.4.0
alpaca-trade-api          3.2.0
altair                    6.0.0
annotated-doc             0.0.4
annotated-types           0.7.0
anyio                     4.14.1
attrs                     26.1.0
beautifulsoup4            4.14.3
blinker                   1.9.0
cachetools                7.0.5
certifi                   2026.2.25
cffi                      2.0.0
charset-normalizer        3.4.6
click                     8.3.1
contourpy                 1.3.3
curl_cffi                 0.13.0
cycler                    0.12.1
deprecation               2.1.0
distro                    1.9.0
et_xmlfile                2.0.0
fastapi                   0.139.0
fonttools                 4.62.1
frozendict                2.4.7
frozenlist                1.8.0
gitdb                     4.0.12
GitPython                 3.1.46
greenlet                  3.5.0
h11                       0.16.0
httpcore                  1.0.9
httptools                 0.8.0
httpx                     0.28.1
idna                      3.11
iniconfig                 2.3.0
Jinja2                    3.1.6
jiter                     0.16.0
jsonschema                4.26.0
jsonschema-specifications 2025.9.1
kiwisolver                1.5.0
lxml                      6.0.2
MarkupSafe                3.0.3
matplotlib                3.10.8
msgpack                   1.0.3
multidict                 6.7.1
multitasking              0.0.12
narwhals                  2.18.1
numpy                     2.4.3
openai                    2.45.0
openpyxl                  3.1.5
packaging                 26.0
pandas                    3.0.1
peewee                    4.0.2
pillow                    12.1.1
pip                       25.3
platformdirs              4.9.4
playwright                1.59.0
plotly                    6.6.0
pluggy                    1.6.0
propcache                 0.4.1
protobuf                  7.34.1
pyarrow                   23.0.1
pycparser                 3.0
pydantic                  2.13.4
pydantic_core             2.46.4
pydeck                    0.9.1
pyee                      13.0.1
Pygments                  2.20.0
pymupdf                   1.28.0
pyparsing                 3.3.2
pypdf                     6.14.2
pypdfium2                 5.12.1
pytest                    9.1.1
python-dateutil           2.9.0.post0
python-dotenv             1.2.2
python-pptx               1.0.2
pytz                      2026.1.post1
PyYAML                    6.0.1
referencing               0.37.0
reportlab                 4.4.10
requests                  2.32.5
rpds-py                   0.30.0
schedule                  1.2.2
six                       1.17.0
smmap                     5.0.3
sniffio                   1.3.1
soupsieve                 2.8.3
starlette                 1.3.1
streamlit                 1.56.0
tenacity                  9.1.4
toml                      0.10.2
tornado                   6.5.5
tqdm                      4.68.4
typing_extensions         4.15.0
typing-inspection         0.4.2
urllib3                   1.26.20
uvicorn                   0.51.0
uvloop                    0.22.1
watchfiles                1.2.0
websocket-client          1.9.0
websockets                16.0
xlsxwriter                3.2.9
yarl                      1.23.0
yfinance                  1.2.0
